fpr,tpr,threshold
1.683881963981354079e-03,3.163199999999999901e-01,9.464139940281729446e-01
1.683881963981354079e-03,3.193199999999999927e-01,9.447125084291196906e-01
1.704417109883565743e-03,3.193199999999999927e-01,9.447007690413361525e-01
1.704417109883565743e-03,3.194000000000000172e-01,9.446194580705064014e-01
1.724952255785777407e-03,3.194000000000000172e-01,9.446124308448072826e-01
1.724952255785777407e-03,3.201200000000000156e-01,9.430025506203819630e-01
1.766022547590200735e-03,3.201200000000000156e-01,9.426816001275596379e-01
1.766022547590200735e-03,3.202800000000000091e-01,9.424031783675483886e-01
1.786557693492412183e-03,3.202800000000000091e-01,9.423944799925042526e-01
1.786557693492412183e-03,3.249400000000000066e-01,9.045914546808985213e-01
1.807092839394623847e-03,3.249400000000000066e-01,9.045892936320979461e-01
1.807092839394623847e-03,3.266800000000000259e-01,9.043111662856131439e-01
1.827627985296835511e-03,3.266800000000000259e-01,9.043083859265049762e-01
1.827627985296835511e-03,3.268800000000000039e-01,9.042850835225582085e-01
1.848163131199047175e-03,3.268800000000000039e-01,9.042836166025802758e-01
1.848163131199047175e-03,3.272399999999999753e-01,9.042093886243377510e-01
1.868698277101258839e-03,3.272399999999999753e-01,9.042090362694429340e-01
1.868698277101258839e-03,3.281999999999999917e-01,9.040881521378041352e-01
1.889233423003470504e-03,3.281999999999999917e-01,9.040860335063080067e-01
1.889233423003470504e-03,3.294199999999999906e-01,9.039512583558373393e-01
1.909768568905682168e-03,3.294199999999999906e-01,9.039454348375517423e-01
1.909768568905682168e-03,3.297999999999999821e-01,9.039089509683911894e-01
1.930303714807893615e-03,3.297999999999999821e-01,9.039088252062006390e-01
1.930303714807893615e-03,3.332399999999999807e-01,9.035562853689147467e-01
1.950838860710105279e-03,3.332399999999999807e-01,9.035560859189455396e-01
1.950838860710105279e-03,3.362800000000000233e-01,9.033185163332209111e-01
1.971374006612317160e-03,3.362800000000000233e-01,9.033169434566580280e-01
1.971374006612317160e-03,3.363800000000000123e-01,9.033113366111528153e-01
1.991909152514528825e-03,3.363800000000000123e-01,9.033112297108212285e-01
1.991909152514528825e-03,3.383200000000000096e-01,9.031681843460220849e-01
2.012444298416740055e-03,3.383200000000000096e-01,9.031675027933064870e-01
2.012444298416740055e-03,3.399599999999999844e-01,9.030447507362281412e-01
2.032979444318951719e-03,3.399599999999999844e-01,9.030444653277999167e-01
2.032979444318951719e-03,3.405400000000000094e-01,9.030020159445987238e-01
2.053514590221163384e-03,3.405400000000000094e-01,9.030020100727089716e-01
2.053514590221163384e-03,3.407800000000000273e-01,9.029855788575794628e-01
2.074049736123375048e-03,3.407800000000000273e-01,9.029853920581042415e-01
2.074049736123375048e-03,3.411799999999999833e-01,9.029637906617622445e-01
2.094584882025586712e-03,3.411799999999999833e-01,9.029623409249506460e-01
2.094584882025586712e-03,3.414200000000000013e-01,9.029480645808084516e-01
2.115120027927798376e-03,3.414200000000000013e-01,9.029450643095653373e-01
2.115120027927798376e-03,3.415799999999999947e-01,9.029331971036730353e-01
2.135655173830010040e-03,3.415799999999999947e-01,9.029305938034448697e-01
2.135655173830010040e-03,3.423999999999999821e-01,9.028815695176278799e-01
2.156190319732221704e-03,3.423999999999999821e-01,9.028812179417613493e-01
2.156190319732221704e-03,3.434800000000000075e-01,9.028164499054216474e-01
2.176725465634433369e-03,3.434800000000000075e-01,9.028154130993462090e-01
2.176725465634433369e-03,3.442000000000000060e-01,9.027777345738315917e-01
2.197260611536645033e-03,3.442000000000000060e-01,9.027775763419499944e-01
2.197260611536645033e-03,3.452999999999999958e-01,9.027051310751522673e-01
2.217795757438856697e-03,3.452999999999999958e-01,9.027046202414731324e-01
2.217795757438856697e-03,3.460599999999999787e-01,9.026616596640002488e-01
2.238330903341068361e-03,3.460599999999999787e-01,9.026608171969465744e-01
2.238330903341068361e-03,3.474400000000000266e-01,9.025908035692942200e-01
2.258866049243280025e-03,3.474400000000000266e-01,9.025895485602678514e-01
2.258866049243280025e-03,3.488800000000000234e-01,9.024935347958240595e-01
2.279401195145491690e-03,3.488800000000000234e-01,9.024931704317556980e-01
2.279401195145491690e-03,3.490800000000000014e-01,9.024821890590202234e-01
2.299936341047703354e-03,3.490800000000000014e-01,9.024818632404626451e-01
2.299936341047703354e-03,3.492199999999999749e-01,9.024714831067208731e-01
2.320471486949914584e-03,3.492199999999999749e-01,9.024714225675496415e-01
2.320471486949914584e-03,3.495199999999999974e-01,9.024584831472345359e-01
2.341006632852126249e-03,3.495199999999999974e-01,9.024581059259256799e-01
2.341006632852126249e-03,3.496199999999999863e-01,9.024480450290220945e-01
2.361541778754337913e-03,3.496199999999999863e-01,9.024452809752343541e-01
2.361541778754337913e-03,3.498399999999999843e-01,9.024341664165728139e-01
2.382076924656549577e-03,3.498399999999999843e-01,9.024328500112606122e-01
2.382076924656549577e-03,3.508200000000000207e-01,9.023807527463887368e-01
2.402612070558761241e-03,3.508200000000000207e-01,9.023795460412873393e-01
2.402612070558761241e-03,3.518000000000000016e-01,9.023281941325302924e-01
2.423147216460972905e-03,3.518000000000000016e-01,9.023279385427072086e-01
2.423147216460972905e-03,3.520199999999999996e-01,9.023188437622807756e-01
2.443682362363184569e-03,3.520199999999999996e-01,9.023176913205286365e-01
2.443682362363184569e-03,3.522000000000000131e-01,9.023079970865209853e-01
2.464217508265396234e-03,3.522000000000000131e-01,9.023079520508259233e-01
2.464217508265396234e-03,3.547399999999999998e-01,9.021829862582350090e-01
2.484752654167607898e-03,3.547399999999999998e-01,9.021809907431040942e-01
2.484752654167607898e-03,3.563399999999999901e-01,9.021053900765229061e-01
2.505287800069819562e-03,3.563399999999999901e-01,9.021046543331998624e-01
2.505287800069819562e-03,3.565599999999999881e-01,9.020930916566627378e-01
2.525822945972031226e-03,3.565599999999999881e-01,9.020923458134333384e-01
2.525822945972031226e-03,3.576199999999999934e-01,9.020345958085449478e-01
2.546358091874242890e-03,3.576199999999999934e-01,9.020332470915958245e-01
2.546358091874242890e-03,3.580200000000000049e-01,9.020191926203401378e-01
2.566893237776454555e-03,3.580200000000000049e-01,9.020189475127999845e-01
2.566893237776454555e-03,3.588199999999999723e-01,9.019684661721445451e-01
2.587428383678666219e-03,3.588199999999999723e-01,9.019675788232548452e-01
2.587428383678666219e-03,3.598399999999999932e-01,9.019210175633975979e-01
2.607963529580877883e-03,3.598399999999999932e-01,9.019209093209933359e-01
2.607963529580877883e-03,3.599600000000000022e-01,9.019150172945248345e-01
2.628498675483089114e-03,3.599600000000000022e-01,9.019149573206256543e-01
2.628498675483089114e-03,3.599999999999999867e-01,9.019091695744216874e-01
